filename,width,height,class,xmin,ymin,xmax,ymax
29408.png,2048,2048,fort,840,995,1190,1256
29417.png,1536,2048,fort,520,855,1028,1259
29415.png,2048,1536,fort,640,479,1141,1062
29415.png,2048,1536,fort,377,988,600,1247
29415.png,2048,1536,fort,609,1176,788,1463
29415.png,2048,1536,fort,1124,966,1440,1441
29415.png,2048,1536,fort,1498,1210,1731,1536
30302.png,1536,2048,fort,646,626,1015,968
30303.png,1536,2048,fort,781,733,983,998
30308.png,1536,2048,fort,630,658,975,917
30278.png,1536,1536,fort,414,661,907,930
30280.png,1536,2048,fort,501,812,792,1156
30317.png,1536,2048,fort,520,1035,910,1321
30292.png,1536,2048,fort,116,838,1279,1321
30291.png,1536,1536,fort,576,691,998,1177
30290.png,2048,1536,fort,797,542,1268,864
30300.png,1536,2048,fort,482,1024,1147,1275
30289.png,2048,2048,fort,776,847,1225,1280
30305.png,1536,2048,fort,528,1027,1238,1517
30309.png,1536,2048,fort,759,890,1037,1111
30306.png,2048,2048,fort,716,1027,1147,1372
30315.png,1536,2048,fort,808,995,1120,1278
30297.png,2048,2048,fort,154,872,1065,1475
30277.png,2048,2048,fort,792,817,1247,1143
30358.png,1536,1536,fort,503,659,893,914
30331.png,1536,2048,fort,504,900,708,1103
30333.png,1536,2048,fort,713,949,1023,1210
30323.png,1536,1536,fort,487,617,669,829
30347.png,1536,2048,fort,657,712,1125,1423
30352.png,1536,2048,fort,643,992,891,1194
30354.png,1536,1536,fort,685,496,1081,844
30355.png,1536,1536,fort,767,710,917,852
30319.png,1536,2048,fort,799,696,1037,868
30320.png,1536,2048,fort,528,857,714,1086
30356.png,1536,1536,fort,606,685,794,862
30326.png,1536,2048,fort,555,464,1053,947
30318.png,1536,2048,fort,552,855,1104,1372
30329.png,1536,2048,fort,356,693,878,1237
30332.png,1536,2048,fort,571,820,996,1186
30337.png,1536,1536,fort,503,405,1095,894
30350.png,1536,2048,fort,116,349,916,1148
30349.png,1536,2048,fort,549,884,964,1086
30351.png,1536,2048,fort,552,895,924,1191
30357.png,1536,2048,fort,707,1045,1138,1293
30398.png,1536,1536,fort,553,560,1109,951
30402.png,1536,2048,fort,549,951,811,1205
30359.png,1536,2048,fort,571,720,784,971
30413.png,1536,1536,fort,501,534,879,704
30418.png,1536,2048,fort,514,906,840,1197
30404.png,1536,2048,fort,708,790,1144,1119
30422.png,1536,1536,fort,677,429,1049,997
30401.png,1536,2048,fort,786,989,1053,1205
30360.png,1536,2048,fort,382,933,1376,1420
30406.png,1536,2048,fort,729,847,1171,1111
30411.png,2048,1536,fort,765,665,1129,882
30414.png,2048,2048,fort,746,981,1139,1399
30416.png,1536,2048,fort,517,941,840,1393
30417.png,1536,2048,fort,342,768,727,1509
30430.png,2048,1536,fort,872,576,1372,1100
30408.png,2048,2048,fort,889,873,1115,1060
30431.png,1536,2048,fort,415,908,773,1216
31048.png,1536,1536,fort,438,457,903,1027
31048.png,1536,1536,fort,923,687,1123,953
31619.png,1536,1536,fort,370,471,1018,1082
31650.png,1536,1536,fort,382,798,843,1033
31650.png,1536,1536,fort,505,370,651,506
30475.png,1536,2048,fort,517,814,829,1329
30467.png,1536,2048,fort,646,908,910,1081
30447.png,1536,2048,fort,579,623,916,1323
30452.png,1536,2048,fort,608,1000,821,1170
31042.png,1536,2048,fort,689,844,948,1310
31034.png,1536,1536,fort,660,740,996,1037
31656.png,1536,2048,fort,46,464,1357,1843
31047.png,1536,2048,fort,657,951,1034,1283
30506.png,1536,2048,fort,724,327,1448,1565
31642.png,1536,2048,fort,506,725,827,1003
31655.png,1536,2048,fort,25,618,1365,1716
31655.png,1536,2048,fort,1249,572,1454,836
30778.png,2048,2048,fort,837,935,1244,1313
31045.png,1536,2048,fort,539,900,1026,1676
31052.png,2048,2048,fort,733,787,1147,1156
31690.png,1536,2048,fort,646,279,1327,1291
31681.png,1536,2048,fort,563,860,803,1049
31681.png,1536,2048,fort,797,0,1268,416
31687.png,1536,2048,fort,396,542,1174,1186
31682.png,1536,1536,fort,481,433,1154,1104
31696.png,2048,2048,fort,872,814,1131,1086
31663.png,1536,2048,fort,444,927,808,1202
31660.png,1536,2048,fort,617,661,1117,1068
31695.png,2048,2048,fort,418,680,1643,1479
31674.png,1536,2048,fort,14,298,1536,1469
31666.png,1536,2048,fort,530,599,1117,1304
31669.png,1536,2048,fort,466,658,1020,1100
31702.png,1536,2048,fort,420,690,1069,1331
31705.png,2048,2048,fort,792,1081,1137,1334
31707.png,1536,2048,fort,530,774,1306,1530
31694.png,2048,2048,fort,708,758,1427,1221
31704.png,2048,2048,fort,891,755,1226,1054
31732.png,1536,2048,fort,579,718,1509,2038
31733.png,1536,2048,fort,445,634,831,1000
31726.png,1536,2048,fort,19,312,999,1757
31735.png,1536,2048,fort,379,512,1246,1943
31707.png,1536,2048,fort,512,794,1321,1542
31736.png,1536,2048,fort,216,707,1040,1829
31755.png,1536,2048,fort,161,387,1356,1383
31755.png,1536,2048,fort,358,1414,643,1713
31755.png,1536,2048,fort,1321,1382,1443,1557
31709.png,1536,2048,fort,642,605,1115,1093
31708.png,1536,2048,fort,457,991,895,1278
31727.png,1536,2048,fort,706,791,1124,1290
31763.png,1536,1536,fort,252,127,1186,1299
31766.png,1536,1536,fort,102,310,1005,1418
31716.png,1536,2048,fort,477,208,1536,1139
31767.png,1536,1536,fort,495,593,920,998
31720.png,2048,2048,fort,768,840,1087,1078
31722.png,1536,2048,fort,63,736,883,1554
31705.png,2048,2048,fort,803,1072,1084,1339
31723.png,1536,2048,fort,167,443,1228,1516
31725.png,1536,2048,fort,106,338,956,1403
31739.png,2048,2048,fort,765,904,1110,1249
31738.png,1536,2048,fort,596,680,959,1017
31740.png,1536,2048,fort,390,678,993,1194
31737.png,1536,2048,fort,486,765,953,1148
31742.png,2048,2048,fort,495,576,1360,1272
31801.png,1536,1536,fort,804,547,1125,929
31773.png,1536,1536,fort,774,534,1086,881
31812.png,1536,2048,fort,347,924,846,1214
31828.png,1536,2048,fort,616,579,1480,1177
31876.png,2048,1536,fort,888,615,1118,950
31798.png,2048,2048,fort,669,698,1357,1444
31793.png,1536,2048,fort,292,335,1536,1876
31811.png,1536,2048,fort,550,564,880,959
31813.png,1536,1536,fort,565,565,1316,855
31791.png,1536,2048,fort,0,576,1008,1786
31841.png,1536,2048,fort,231,669,779,1447
31843.png,1536,2048,fort,677,512,1185,1232
31844.png,1536,2048,fort,300,976,709,1325
31845.png,1536,1536,fort,582,660,1075,1048
31871.png,1536,2048,fort,379,686,837,1145
31834.png,2048,2048,fort,959,947,1197,1345
31840.png,2048,2048,fort,672,770,1273,1313
31895.png,1536,1536,fort,517,332,1362,1194
31914.png,1536,2048,fort,135,376,1191,1336
31927.png,1536,1536,fort,563,571,827,1031
31924.png,1536,2048,fort,689,666,1231,1139
31924.png,1536,2048,fort,932,1409,1138,1699
31879.png,1536,2048,fort,399,738,1037,1449
31932.png,1536,2048,fort,529,895,718,1151
31942.png,1536,2048,fort,637,970,982,1330
31885.png,1536,2048,fort,240,1031,544,1336
31885.png,1536,2048,fort,515,808,1072,1296
31944.png,1536,2048,fort,344,779,1167,1684
31946.png,1536,2048,fort,0,457,1234,1745
31961.png,1536,2048,fort,335,860,707,1188
32007.png,1536,2048,fort,518,994,828,1243
32007.png,1536,2048,fort,848,883,1089,1136
32010.png,1536,2560,fort,390,988,1241,1844
31965.png,1536,2048,fort,298,736,1298,1148
31966.png,1536,2048,fort,422,567,1066,1098
31975.png,2048,2048,fort,631,625,1331,1267
32045.png,2048,2048,fort,756,495,1360,1156
31982.png,1536,2048,fort,228,756,1182,1603
31992.png,1536,2048,fort,254,852,840,1371
31997.png,1536,2048,fort,329,941,1536,2033
32027.png,1536,2048,fort,477,950,860,1394
31969.png,2048,2048,fort,803,823,1137,1046
32037.png,1536,2048,fort,228,791,805,1667
32040.png,1536,2048,fort,741,997,1295,1597
32040.png,1536,2048,fort,324,1342,596,1528
32041.png,1536,2048,fort,124,857,1150,1655
32042.png,1536,2048,fort,524,1072,883,1484
31993.png,2048,2048,fort,579,605,1264,1574
32036.png,2048,2048,fort,104,298,1468,1552
32116.png,1536,1536,fort,685,654,946,929
32123.png,1536,1536,fort,332,380,1157,1079
32055.png,1536,2048,fort,674,590,1124,1011
32038.png,1536,2048,fort,315,579,1448,1536
32105.png,1536,2048,fort,156,469,1321,1922
32111.png,1536,2048,fort,608,814,982,1194
32118.png,1536,1536,fort,585,626,783,772
32133.png,1536,1536,fort,469,621,696,824
32136.png,1536,2048,fort,869,823,979,924
32139.png,1536,2048,fort,680,831,1104,1319
32140.png,1536,1536,fort,656,613,1347,1175
32089.png,1536,2048,fort,477,576,1254,1632
32090.png,1536,2048,fort,106,585,921,1415
32041.png,1536,2048,fort,130,869,1133,1679
32110.png,2048,2048,fort,837,953,1142,1220
32113.png,1536,2048,fort,721,846,1040,1200
32114.png,1536,2048,fort,474,939,756,1191
32137.png,1536,2048,fort,590,640,1011,1064
32138.png,2048,1536,fort,608,443,1385,1303
32092.png,2048,2048,fort,588,686,1258,1188
32135.png,1536,2048,fort,611,727,1017,1046
32173.png,1536,2048,fort,547,776,985,1226
32172.png,1536,2048,fort,605,968,909,1348
32144.png,1536,2048,fort,628,663,1051,1249
32152.png,1536,2048,fort,538,872,733,1061
32153.png,1536,2048,fort,654,1063,996,1272
32159.png,1536,1536,fort,604,530,1188,905
32170.png,1536,2048,fort,425,854,736,1107
32143.png,1536,1536,fort,424,613,770,957
32149.png,2048,2048,fort,753,823,1215,1194
32141.png,2048,2048,fort,698,843,1197,1154
32161.png,2048,2048,fort,872,901,1084,1133
32162.png,2048,1536,fort,814,641,1157,940
32165.png,2048,2048,fort,904,828,1270,1139
32167.png,2048,2048,fort,779,730,1110,1067
32175.png,1536,2048,fort,900,1252,1292,1551
32176.png,1536,2048,fort,587,602,782,794
